SMILES,Max_Tanimoto,Similar_To,HOMO_LUMO_Gap_eV,Polarizability_Bohr3,HOMO_eV,LUMO_eV,Dipole_Debye,Internal_Energy_kcal,MW,LogP,HBD,HBA,TPSA,RotatableBonds,QED_Score,Lipinski_Violations
O=C(c1ccc2ccccc2c1)N(C1CCC1)C1CCNCC1,0.303,Ribociclib,8.4673,69.61065674,-6.7105,1.4262,3.536554575,-372341.07,308.43,3.59,1,2,32.34,3,0.94,0
CCn1cc(C(=O)O)c(=O)c2ccc(N3CCNCC3)cc21,0.306,Ribociclib,7.5366,63.72963333,-6.2013,0.7288,4.162722588,-322988.5,301.35,1.13,2,5,74.57,3,0.889,0
Brc1ccc2nc(N3CCNCC3)cnc2c1,0.308,Ribociclib,6.8863,69.78289795,-6.7579,1.275,3.035788536,-315557.5,293.17,1.8,1,4,41.05,1,0.87,0
CS(=O)(=O)c1ccc2nc(N3CCNCC3)cnc2c1,0.343,Ribociclib,6.751,69.72613525,-7.2743,-0.7872,4.245504379,-328354.77,292.36,0.44,1,6,75.19,2,0.866,0
COc1ccc2nc(N3CCNCC3)cnc2c1,0.313,Ribociclib,6.856,64.23218536,-6.3441,1.0885,2.708599567,-314551.01,244.3,1.05,1,5,50.28,2,0.855,0
c1ccc(Nc2ncc3c(n2)CCCC3)cc1,0.302,Abemaciclib,7.6597,69.37618256,-6.8369,0.8226,2.64760232,-304210.25,225.29,3.1,1,3,37.81,2,0.853,0
Clc1ccc2nc(N3CCNCC3)cnc2c1,0.308,Ribociclib,6.9466,66.72241211,-6.7204,1.281,2.948323488,-315364.77,248.72,1.69,1,4,41.05,1,0.834,0
Clc1ccc2ncc(N3CCNCC3)nc2c1,0.308,Ribociclib,6.924,66.72241211,-6.7204,1.2903,2.744127989,-315364.77,248.72,1.69,1,4,41.05,1,0.834,0
Fc1ccc2nc(N3CCNCC3)cnc2c1,0.308,Ribociclib,6.5657,59.45901489,-7.1446,0.0885,3.082853079,-352480.89,232.26,1.18,1,4,41.05,1,0.801,0
Cc1ccc2nc(N3CCNCC3)cnc2c1,0.328,Ribociclib,6.6329,67.23081207,-6.7174,1.1344,3.053056955,-309683.06,228.3,1.35,1,4,41.05,1,0.8,0
Oc1ccc2nc(N3CCNCC3)cnc2c1,0.328,Ribociclib,6.8946,66.33221436,-6.0289,1.1438,2.684095621,-320661.79,230.27,0.74,2,5,61.28,1,0.757,0
Cc1c(N2CCNCC2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.3,Palbociclib,7.3181,65.01525879,-6.0872,0.6598,4.861768723,-322465.36,342.4,1.33,3,6,100.59,3,0.728,0
Nc1ccc2nc(N3CCNCC3)cnc2c1,0.308,Ribociclib,6.4925,73.52043152,-5.9255,1.2509,3.043007851,-315548.92,229.29,0.62,2,5,67.07,1,0.702,0
C[C@H]1CCCn2ncc(-c3nc(Nc4ccc(N5CCN(C)CC5)cn4)ncc3F)c21,0.329,Ribociclib,7.7339,65.04399872,-7.287,-0.0089,3.021052599,-344296.39,422.51,3.27,1,8,75,4,0.692,0
CCN1CCCC(Nc2nc(Nc3ccc(Cl)cc3)nc3ccccc23)C1,0.338,Abemaciclib,7.5183,72.84421539,-6.5604,0.5993,3.936054468,-312531.25,381.91,4.92,2,5,53.08,5,0.656,0
O=[N+]([O-])c1ccc2nc(N3CCNCC3)ccc2c1,0.313,Ribociclib,6.9272,60.58717346,-7.3043,-1.0213,4.654390812,-329877.08,258.28,1.55,1,5,71.3,2,0.653,0
