SMILES,Max_Tanimoto,Similar_To,HOMO_LUMO_Gap_eV,Polarizability_Bohr3,HOMO_eV,LUMO_eV,Dipole_Debye,Internal_Energy_kcal
O=c1c2nncn2c2cnc(Nc3ccc(N4CCN(C5CCCC5)CC4)cc3)nc2n1C1CCCC1,0.4,Palbociclib,7.3388,64.10386658,-7.8854,-0.8219,3.73136425,-338911.31
O=c1c2nncn2c2cnc(Nc3ccc(N4CCN(CCO)CC4)cc3)nc2n1C1CCCC1,0.372,Palbociclib,7.2455,64.87987518,-7.3333,-0.4783,3.374642372,-332931.56
CN(C)c1ccc(Nc2ncc3c(n2)n(C2CCCC2)c(=O)c2nncn23)cc1,0.358,Palbociclib,7.2631,64.98003387,-7.3378,-0.7042,4.269185543,-334356.09
CCN1CCN(c2nc(Nc3ccccc3)nc(N3CCN(CCNc4ccnc5cc(Cl)ccc45)CC3)n2)CC1,0.354,Abemaciclib,6.8399,69.13771057,-6.3059,1.2092,2.982046604,-317965.9
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(Cc5cn(CCCCC#Cc6cccc7c6C(=O)N(C6CCC(=O)NC6=O)C7=O)nn5)CC4)cn3)nc2n(C2CCCC2)c1=O,0.344,Palbociclib,7.472,65.66707611,-6.7586,-0.7638,4.183383942,-325600.34
Cc1ccc(CN2CCN(C)CC2)cc1NC(=O)c1ccc(Nc2nc(-c3ccc(OC(F)(F)F)cc3)c3c(ccn3C)n2)cc1,0.344,Abemaciclib,7.569,62.51549149,-7.5861,0.5488,3.064069033,-332953
CS(=O)(=O)c1ccc2nc(N3CCNCC3)cnc2c1,0.343,Ribociclib,6.751,69.72613525,-7.2743,-0.7872,4.245504379,-328354.77
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(Cc5cn(CCOCCOCCOCCOCCNc6cccc7c6C(=O)N(C6CCC(=O)NC6=O)C7=O)nn5)CC4)cn3)nc2n(C2CCCC2)c1=O,0.341,Palbociclib,7.4573,66.85218811,-6.5364,-0.6866,3.863828182,-332918.57
Cc1ccc(CN2CCN(C)CC2)cc1NC(=O)c1ccc(Nc2nc(-c3ccc(OC(F)(F)F)cc3)c3ccsc3n2)cc1,0.34,Abemaciclib,7.6725,62.34038544,-7.701,0.7231,3.994591713,-333234.47
Cc1ccc(CN2CCN(C)CC2)cc1NC(=O)c1ccc(Nc2nc(-c3ccc(OC(F)(F)F)cc3)c3[nH]ccc3n2)cc1,0.34,Abemaciclib,7.6779,62.24494171,-6.6563,0.641,4.290713787,-335336.38
CCN1CCCC(Nc2nc(Nc3ccc(Cl)cc3)nc3ccccc23)C1,0.338,Abemaciclib,7.5183,72.84421539,-6.5604,0.5993,3.936054468,-312531.25
