#Frame RMSD_Angstrom
9.000000 0.000000
18.000000 3.885732
27.000000 3.708749
36.000000 3.392534
45.000000 3.530106
54.000000 3.501121
63.000000 3.798199
72.000000 3.784374
81.000000 3.305735
90.000000 3.791947
99.000000 3.455925
108.000000 4.352069
117.000000 3.874284
126.000000 3.985262
135.000000 3.919600
144.000000 3.547517
153.000000 3.682673
162.000000 3.263507
171.000000 3.538837
180.000000 3.587109
189.000000 3.574735
198.000000 4.200328
207.000000 3.605531
216.000000 2.982636
225.000000 3.276531
234.000000 3.089209
243.000000 3.651893
252.000000 3.265262
261.000000 3.522206
270.000000 3.197667
279.000000 3.372371
288.000000 3.429985
297.000000 3.328985
306.000000 3.216157
315.000000 3.485410
324.000000 3.792078
333.000000 3.818247
342.000000 3.948618
351.000000 3.599627
360.000000 3.537835
369.000000 3.513546
378.000000 3.616429
387.000000 3.828611
396.000000 3.762687
405.000000 3.771044
414.000000 3.228496
423.000000 3.260854
432.000000 3.078877
441.000000 3.260052
450.000000 3.561397
459.000000 3.832294
468.000000 3.170214
477.000000 4.020386
486.000000 3.196273
495.000000 3.429593
504.000000 3.677022
513.000000 3.434874
522.000000 4.089579
531.000000 3.806239
540.000000 3.777118
549.000000 3.831367
558.000000 3.309819
567.000000 3.695804
576.000000 3.330444
585.000000 3.389450
594.000000 3.496211
603.000000 3.416980
612.000000 3.204407
621.000000 3.699220
630.000000 2.793896
639.000000 3.366325
648.000000 3.318670
657.000000 3.233694
666.000000 3.616069
675.000000 3.689311
684.000000 3.518465
693.000000 3.599396
702.000000 3.408641
711.000000 3.464136
720.000000 3.595222
729.000000 3.574925
738.000000 3.494935
747.000000 3.446115
756.000000 3.332396
765.000000 3.966893
774.000000 4.000651
783.000000 3.347667
792.000000 3.660241
801.000000 3.624852
810.000000 3.716109
819.000000 3.169807
828.000000 3.746926
837.000000 3.699189
846.000000 4.180727
855.000000 3.575907
864.000000 3.558198
873.000000 3.947987
882.000000 3.855771
891.000000 3.312704
900.000000 3.658690
909.000000 3.786417
918.000000 3.367905
927.000000 3.137339
936.000000 3.319784
945.000000 3.800857
954.000000 4.030234
963.000000 3.522380
972.000000 3.706986
981.000000 3.472107
990.000000 3.564764
999.000000 3.386326
