#Frame RMSD_Angstrom
9.000000 0.000000
18.000000 2.207959
27.000000 1.580383
36.000000 2.623315
45.000000 2.720715
54.000000 2.531262
63.000000 2.945854
72.000000 2.960619
81.000000 2.864938
90.000000 2.220572
99.000000 2.304604
108.000000 2.100833
117.000000 2.611017
126.000000 2.648104
135.000000 2.742449
144.000000 2.612311
153.000000 2.950457
162.000000 3.087426
171.000000 3.179604
180.000000 2.834521
189.000000 3.007588
198.000000 2.488275
207.000000 2.615285
216.000000 2.896642
225.000000 2.653687
234.000000 2.497891
243.000000 2.838221
252.000000 2.567415
261.000000 2.748239
270.000000 2.300046
279.000000 2.401071
288.000000 2.632788
297.000000 2.557168
306.000000 2.527703
315.000000 2.980397
324.000000 2.619110
333.000000 3.136753
342.000000 3.114655
351.000000 2.948030
360.000000 2.784823
369.000000 2.767615
378.000000 2.323844
387.000000 2.700645
396.000000 2.676522
405.000000 3.204064
414.000000 2.783293
423.000000 2.900490
432.000000 3.051965
441.000000 2.772497
450.000000 2.521058
459.000000 3.237859
468.000000 3.046752
477.000000 3.612748
486.000000 2.660776
495.000000 2.955735
504.000000 2.404325
513.000000 2.331239
522.000000 2.319342
531.000000 3.085605
540.000000 2.930461
549.000000 3.049000
558.000000 2.973834
567.000000 3.116502
576.000000 2.961746
585.000000 2.888657
594.000000 2.869210
603.000000 2.431890
612.000000 2.717744
621.000000 2.900490
630.000000 2.537066
639.000000 3.297962
648.000000 3.285583
657.000000 3.167580
666.000000 3.346521
675.000000 3.050051
684.000000 2.603573
693.000000 2.900278
702.000000 2.826081
711.000000 2.587891
720.000000 2.718745
729.000000 2.995974
738.000000 2.705940
747.000000 2.529769
756.000000 3.010609
765.000000 2.888612
774.000000 2.703619
783.000000 2.627512
792.000000 2.781700
801.000000 2.720425
810.000000 2.982106
819.000000 2.766470
828.000000 3.334020
837.000000 3.250676
846.000000 3.390944
855.000000 2.764424
864.000000 2.841669
873.000000 3.647524
882.000000 3.171169
891.000000 3.209992
900.000000 3.590376
909.000000 3.454130
918.000000 3.084196
927.000000 3.123595
936.000000 2.990898
945.000000 3.550987
954.000000 3.757452
963.000000 3.124087
972.000000 3.075699
981.000000 3.023547
990.000000 2.960901
999.000000 3.108418
