#Frame RMSD_Angstrom
9.000000 0.000000
18.000000 1.673724
27.000000 1.603662
36.000000 1.359833
45.000000 1.720912
54.000000 1.993149
63.000000 1.952252
72.000000 2.282588
81.000000 1.961109
90.000000 1.911889
99.000000 2.043191
108.000000 2.313213
117.000000 2.109649
126.000000 2.177817
135.000000 2.023843
144.000000 1.992620
153.000000 2.018165
162.000000 2.548383
171.000000 2.356642
180.000000 2.533961
189.000000 2.793555
198.000000 2.730708
207.000000 2.826413
216.000000 2.396648
225.000000 2.931809
234.000000 3.149745
243.000000 3.081038
252.000000 2.690447
261.000000 2.267249
270.000000 2.550037
279.000000 3.293654
288.000000 2.949350
297.000000 2.627852
306.000000 2.880559
315.000000 2.651385
324.000000 2.610327
333.000000 2.682384
342.000000 2.371822
351.000000 2.600822
360.000000 2.409803
369.000000 2.385384
378.000000 2.792696
387.000000 2.512358
396.000000 2.294867
405.000000 2.032187
414.000000 2.453718
423.000000 2.287814
432.000000 2.453742
441.000000 2.633150
450.000000 2.448247
459.000000 2.219174
468.000000 2.057838
477.000000 2.253495
486.000000 2.370291
495.000000 2.158374
504.000000 2.442477
513.000000 2.332645
522.000000 2.309464
531.000000 2.483341
540.000000 2.656746
549.000000 2.960208
558.000000 2.763000
567.000000 2.833819
576.000000 2.286432
585.000000 2.435300
594.000000 2.483765
603.000000 2.499040
612.000000 2.441734
621.000000 2.317991
630.000000 2.763974
639.000000 2.492495
648.000000 2.698834
657.000000 2.449634
666.000000 2.873600
675.000000 2.797911
684.000000 2.695422
693.000000 2.541308
702.000000 2.501756
711.000000 2.496508
720.000000 2.596586
729.000000 2.720545
738.000000 2.789361
747.000000 2.768672
756.000000 2.751086
765.000000 2.569592
774.000000 2.383936
783.000000 2.738993
792.000000 2.357486
801.000000 2.829001
810.000000 2.526672
819.000000 2.592954
828.000000 2.518177
837.000000 2.475572
846.000000 2.516945
855.000000 2.486545
864.000000 2.524539
873.000000 2.576668
882.000000 2.608420
891.000000 2.441494
900.000000 2.261276
909.000000 2.701306
918.000000 2.516712
927.000000 2.319506
936.000000 2.122735
945.000000 2.142155
954.000000 2.202530
963.000000 2.716227
972.000000 2.578803
981.000000 2.510761
990.000000 2.580520
999.000000 2.659680
