#Frame     RMSD_00004
       1       0.0000
       2       1.4436
       3       0.9889
       4       1.7489
       5       1.5906
       6       1.0819
       7       1.6447
       8       1.0227
       9       1.6955
      10       1.2030
      11       1.5941
      12       1.9864
      13       4.0614
      14       4.3473
      15       4.8694
      16       3.5326
      17       4.5879
      18       5.1799
      19       5.3739
      20       5.0784
      21       2.9176
      22       2.8415
      23       2.6049
      24       2.6251
      25       3.2270
      26       1.8908
      27       1.9254
      28       2.4608
      29       1.1890
      30       1.4530
      31       1.5451
      32       1.6657
      33       1.9353
      34       2.0121
      35       1.8735
      36       1.7176
      37       2.3589
      38       2.1112
      39       3.3188
      40       3.0827
      41       4.3203
      42       4.4172
      43       3.9003
      44       1.9348
      45       2.4639
      46       3.7721
      47       3.9459
      48       3.7990
      49       3.7178
      50       4.3662
      51       5.5483
      52       4.3132
      53       6.3375
      54       5.8838
      55       4.8663
      56       5.7034
      57       7.1487
      58       7.1594
      59       6.7854
      60       8.9179
      61       7.3640
      62       7.5634
      63       7.9015
      64       7.9129
      65       7.4465
      66       8.1521
      67       6.4272
      68       6.0927
      69       5.9621
      70       7.1225
      71       6.2126
      72       6.9185
      73       6.2090
      74       5.7626
      75       6.3534
      76       6.0280
      77       5.5800
      78       5.7804
      79       5.9628
      80       7.5861
      81       6.2600
      82       5.8096
      83       6.1409
      84       5.3235
      85       7.5164
      86       5.3074
      87       6.8579
      88       5.3801
      89       7.5553
      90       5.4338
      91       5.1687
      92       6.4831
      93       7.7860
      94       6.4854
      95       7.0591
      96       7.1091
      97       7.2364
      98       7.7509
      99       8.2498
     100       7.5871
     101       7.1432
     102       7.2393
     103       8.1808
     104       7.2268
     105       8.4563
     106       8.1449
     107       8.5382
     108       8.9434
     109       8.8527
     110       8.4002
     111       7.8800
