#Frame     RMSD_00006
       1       0.0000
       2       1.4919
       3       1.0435
       4       1.6811
       5       1.5369
       6       1.0463
       7       1.4952
       8       1.0285
       9       1.7581
      10       1.1163
      11       1.5490
      12       1.8367
      13       3.7684
      14       3.4725
      15       3.9452
      16       2.9759
      17       3.8919
      18       4.3812
      19       4.2899
      20       3.9334
      21       2.6093
      22       2.3764
      23       2.5267
      24       2.6020
      25       3.0843
      26       1.8511
      27       1.7331
      28       2.3655
      29       1.3027
      30       1.3979
      31       1.7247
      32       1.5607
      33       1.9078
      34       2.0173
      35       1.7588
      36       1.8690
      37       2.3011
      38       2.1169
      39       3.0566
      40       2.7981
      41       3.9455
      42       3.7944
      43       3.7745
      44       1.7853
      45       2.2664
      46       3.6809
      47       3.6520
      48       3.4575
      49       3.0887
      50       3.4500
      51       4.3895
      52       3.3443
      53       5.1339
      54       4.7708
      55       4.0768
      56       4.6245
      57       5.8077
      58       5.9113
      59       6.0179
      60       7.5784
      61       5.9711
      62       6.3932
      63       6.8286
      64       6.5170
      65       6.1648
      66       6.8894
      67       5.1719
      68       5.3840
      69       5.2077
      70       6.1255
      71       5.4488
      72       6.1835
      73       5.4326
      74       5.1262
      75       5.7030
      76       5.1542
      77       4.9568
      78       5.1600
      79       5.2840
      80       6.2354
      81       5.6347
      82       5.1539
      83       5.5250
      84       4.6345
      85       6.0991
      86       4.9567
      87       5.7834
      88       4.9404
      89       6.4373
      90       4.8008
      91       4.7579
      92       5.6522
      93       6.4482
      94       5.4492
      95       5.7862
      96       5.7841
      97       5.9921
      98       6.3386
      99       6.7284
     100       6.7502
     101       6.4142
     102       6.4411
     103       6.7260
     104       5.9907
     105       7.1249
     106       7.0855
     107       7.2295
     108       7.6091
     109       7.6123
     110       7.0940
     111       6.3939
