#Frame     RMSD_00001
       1       0.0000
       2       1.4419
       3       1.8798
       4       1.9337
       5       2.4034
       6       2.6219
       7       2.4011
       8       2.5039
       9       3.3613
      10       3.0261
      11       2.5840
      12       2.9114
      13       3.1850
      14       2.6892
      15       2.9323
      16       2.9961
      17       3.1188
      18       3.3462
      19       2.9932
      20       2.9009
      21       2.1256
      22       2.8036
      23       2.6434
      24       2.5548
      25       2.9433
      26       2.7231
      27       2.4336
      28       3.0558
      29       2.7772
      30       2.5169
      31       2.6101
      32       2.3466
      33       2.0226
      34       3.3011
      35       2.6229
      36       2.8483
      37       3.1398
      38       2.7211
      39       3.0126
      40       2.8363
      41       3.0801
      42       2.8151
      43       2.6306
      44       2.4140
      45       2.0158
      46       2.1493
      47       2.3766
      48       2.8265
      49       2.8963
      50       3.6940
      51       3.2638
      52       2.9053
      53       3.5336
      54       3.1880
      55       2.5559
      56       2.9543
      57       3.3764
      58       4.1297
      59       4.0788
      60       4.3048
      61       3.7798
      62       3.9759
      63       3.8853
      64       3.9564
      65       4.0658
      66       3.2280
      67       2.7113
      68       3.8057
      69       3.2906
      70       3.1787
      71       3.3081
      72       4.0434
      73       3.7057
      74       3.2112
      75       3.7691
      76       3.2103
      77       3.1933
      78       3.4627
      79       3.8899
      80       3.8839
      81       3.1651
      82       3.3887
      83       3.5043
      84       3.2337
      85       3.3157
      86       3.0383
      87       3.0662
      88       2.9642
      89       2.8668
      90       2.8252
      91       3.0602
      92       3.0976
      93       3.1035
      94       2.8983
      95       3.1095
      96       3.3007
      97       3.3547
      98       2.7978
      99       2.8157
     100       2.8824
     101       2.4550
     102       2.7588
     103       2.8252
     104       3.5806
     105       3.4723
     106       3.4487
     107       3.2634
     108       3.8153
     109       3.7418
     110       3.7069
     111       3.5646
