#Atom       AtomicFlx
8901.000       4.4847
8902.000       4.2931
8903.000       3.9998
8904.000       4.3475
8905.000       4.0844
8906.000       4.4595
8907.000       4.1770
8908.000       4.0073
8909.000       4.8262
8910.000       4.8223
8911.000       5.0632
8912.000       5.3210
8913.000       5.5318
8914.000       5.5113
8915.000       6.0916
8916.000       6.5872
8917.000       6.2057
8918.000       7.2578
8919.000       6.0027
8920.000       6.9082
8921.000       7.8561
8922.000       7.3758
8923.000       6.5919
8924.000       7.0996
8925.000       7.9838
8926.000       7.4660
8927.000       8.0898
