#Frame RMSD_Angstrom
2.000000 0.000000
4.000000 1.066656
6.000000 0.642526
8.000000 1.292937
10.000000 1.536003
12.000000 1.987564
14.000000 1.735482
16.000000 1.964985
18.000000 2.421038
20.000000 2.874009
22.000000 1.734123
24.000000 2.035943
26.000000 2.104216
28.000000 2.143536
30.000000 1.647934
32.000000 1.700906
34.000000 1.808598
36.000000 2.550905
38.000000 1.854821
40.000000 2.054907
42.000000 2.409325
44.000000 1.746265
46.000000 1.817110
48.000000 1.453677
50.000000 2.181288
52.000000 2.120046
54.000000 2.430098
56.000000 1.815305
58.000000 1.894469
60.000000 2.556650
62.000000 1.641095
64.000000 2.348166
66.000000 2.228127
68.000000 2.822652
70.000000 3.165179
72.000000 3.153145
74.000000 3.034757
76.000000 2.670003
78.000000 2.592072
80.000000 2.908472
82.000000 2.806887
84.000000 4.346755
86.000000 5.864430
88.000000 6.385146
90.000000 6.490048
92.000000 5.801191
94.000000 5.553345
96.000000 6.311182
98.000000 6.193905
100.000000 6.173396
102.000000 6.056707
104.000000 6.190320
106.000000 6.110204
108.000000 5.911696
110.000000 5.869031
112.000000 6.106868
114.000000 6.003328
116.000000 6.178440
118.000000 6.289070
120.000000 6.701610
122.000000 6.164522
124.000000 5.805941
126.000000 6.277074
128.000000 5.686746
130.000000 6.370849
132.000000 6.005573
134.000000 7.500569
136.000000 7.235837
138.000000 6.075284
140.000000 5.854233
142.000000 5.997844
144.000000 5.964427
146.000000 5.911417
148.000000 6.391113
150.000000 5.946866
152.000000 6.496521
154.000000 5.696676
156.000000 5.984180
158.000000 6.125860
160.000000 6.123787
162.000000 6.245870
164.000000 6.096942
166.000000 6.415990
168.000000 6.334794
170.000000 7.165688
172.000000 6.717630
174.000000 6.965980
176.000000 7.043528
178.000000 6.894462
180.000000 7.021276
182.000000 7.240264
184.000000 7.394646
186.000000 7.077251
188.000000 7.733004
190.000000 7.009872
192.000000 6.865092
194.000000 7.263167
196.000000 7.341359
198.000000 6.715135
200.000000 6.711539
202.000000 6.763300
204.000000 6.227906
206.000000 7.248772
208.000000 6.856679
210.000000 5.537180
212.000000 6.320093
214.000000 6.434128
216.000000 5.978288
218.000000 6.770236
220.000000 6.556181
222.000000 6.603375
224.000000 5.595437
226.000000 5.732355
228.000000 5.375386
230.000000 5.241432
232.000000 5.692060
234.000000 5.963825
236.000000 5.997895
238.000000 6.805434
240.000000 6.312234
242.000000 6.526200
244.000000 6.580265
246.000000 6.042302
248.000000 6.507109
250.000000 6.348043
