#Frame RMSD_Angstrom
2.000000 0.000000
4.000000 0.841536
6.000000 0.993927
8.000000 1.522446
10.000000 1.432086
12.000000 1.152245
14.000000 1.628712
16.000000 1.575876
18.000000 1.445726
20.000000 1.476708
22.000000 1.623176
24.000000 1.915774
26.000000 1.708398
28.000000 1.886091
30.000000 1.392475
32.000000 1.384949
34.000000 1.580078
36.000000 1.435577
38.000000 1.481903
40.000000 1.421252
42.000000 1.485750
44.000000 1.537028
46.000000 1.725787
48.000000 2.047034
50.000000 1.397574
52.000000 1.434261
54.000000 1.522418
56.000000 2.214036
58.000000 1.950977
60.000000 2.374166
62.000000 2.796687
64.000000 2.550117
66.000000 2.305880
68.000000 2.286547
70.000000 2.175180
72.000000 1.882036
74.000000 1.989488
76.000000 1.872446
78.000000 1.689193
80.000000 2.015778
82.000000 2.101774
84.000000 2.307403
86.000000 1.876077
88.000000 1.823449
90.000000 2.017803
92.000000 1.724158
94.000000 1.900678
96.000000 1.863042
98.000000 1.698654
100.000000 1.807122
102.000000 2.250369
104.000000 2.022606
106.000000 2.072212
108.000000 1.933342
110.000000 1.892993
112.000000 1.735656
114.000000 2.009014
116.000000 1.860825
118.000000 1.901187
120.000000 1.874766
122.000000 2.097633
124.000000 1.908609
126.000000 1.914559
128.000000 1.819254
130.000000 2.278833
132.000000 2.216811
134.000000 2.369111
136.000000 2.185994
138.000000 1.961011
140.000000 1.881406
142.000000 2.016845
144.000000 2.184487
146.000000 2.372945
148.000000 2.311586
150.000000 2.074690
152.000000 2.534833
154.000000 2.320591
156.000000 2.161308
158.000000 2.156468
160.000000 1.910081
162.000000 2.310959
164.000000 2.438939
166.000000 2.418691
168.000000 2.352558
170.000000 2.197613
172.000000 1.891090
174.000000 2.069541
176.000000 1.819930
178.000000 2.027550
180.000000 2.074330
182.000000 1.885020
184.000000 1.951989
186.000000 2.147101
188.000000 1.792483
190.000000 1.886696
192.000000 1.999637
194.000000 1.926129
196.000000 1.982723
198.000000 2.244156
200.000000 1.972020
202.000000 1.934886
204.000000 1.841326
206.000000 1.931206
208.000000 2.128058
210.000000 1.930501
212.000000 2.217801
214.000000 2.044802
216.000000 2.197693
218.000000 2.415112
220.000000 2.275883
222.000000 1.893086
224.000000 1.861037
226.000000 1.780168
228.000000 1.683855
230.000000 1.742599
232.000000 1.822919
234.000000 1.943513
236.000000 1.757228
238.000000 1.862947
240.000000 1.789271
242.000000 1.931706
244.000000 1.954799
246.000000 1.974957
248.000000 1.890091
250.000000 2.154186
