#Frame RMSD_Angstrom
7.000000 0.000000
14.000000 1.463676
21.000000 1.607782
28.000000 2.325682
35.000000 2.537747
42.000000 2.428607
49.000000 2.632215
56.000000 2.228520
63.000000 2.876776
70.000000 2.318345
77.000000 2.405207
84.000000 2.164577
91.000000 2.145369
98.000000 1.988649
105.000000 2.415966
112.000000 2.313719
119.000000 2.054535
126.000000 2.228126
133.000000 2.356443
140.000000 2.942732
147.000000 3.139225
154.000000 2.980490
161.000000 3.638155
168.000000 3.362334
175.000000 3.564264
182.000000 3.323665
189.000000 3.275115
196.000000 3.908850
203.000000 3.571861
210.000000 3.945642
217.000000 3.937309
224.000000 3.745767
231.000000 3.512141
238.000000 3.547932
245.000000 3.360715
252.000000 3.269605
259.000000 3.337657
266.000000 3.355345
273.000000 3.807605
280.000000 3.247217
287.000000 3.045950
294.000000 2.871113
301.000000 2.911731
308.000000 3.182162
315.000000 3.407083
322.000000 3.114942
329.000000 3.048544
336.000000 3.428376
343.000000 3.049101
350.000000 3.308817
357.000000 3.311665
364.000000 3.364928
371.000000 3.463140
378.000000 2.718998
385.000000 2.678168
392.000000 3.018649
399.000000 3.020956
406.000000 2.817741
413.000000 3.422189
420.000000 2.958467
427.000000 3.050041
434.000000 3.460687
441.000000 2.938053
448.000000 2.825812
455.000000 3.259382
462.000000 3.046584
469.000000 2.605545
476.000000 2.672719
483.000000 3.356688
490.000000 3.543242
497.000000 3.303788
504.000000 3.041218
511.000000 3.597552
518.000000 3.582859
525.000000 3.585571
532.000000 4.121902
539.000000 3.586207
546.000000 3.689609
553.000000 3.545125
560.000000 3.165154
567.000000 3.553917
574.000000 3.183413
581.000000 3.358588
588.000000 3.354751
595.000000 3.728534
602.000000 4.015112
609.000000 3.560270
616.000000 3.048352
623.000000 3.298805
630.000000 4.174589
637.000000 3.974589
644.000000 3.765347
651.000000 3.521380
658.000000 3.594475
665.000000 3.430715
672.000000 3.145523
679.000000 4.387414
686.000000 3.878023
693.000000 3.356618
700.000000 3.551115
707.000000 3.234625
714.000000 3.426411
721.000000 3.573041
728.000000 3.334551
