#AtomName RMSF_Angstrom
N 46.350716
C 46.340847
C1 46.464172
N1 46.492634
C2 46.509762
C3 46.380768
C4 46.269165
C5 46.188435
N2 46.196541
N3 46.248100
C6 46.129082
N4 46.236252
N5 46.181702
N6 46.263962
C7 46.219223
C8 46.252689
C9 46.182331
C10 46.216923
C11 46.343025
C12 46.304634
N7 46.109222
C13 46.030594
C14 45.878357
C15 46.119728
C16 45.835423
C17 46.076469
C18 45.919106
C19 46.618599
C20 46.638756
N8 46.577419
C21 46.660080
C22 46.701744
C23 46.593773
C24 46.805283
C25 46.570930
C26 46.698994
N9 46.738686
C27 46.528698
C28 46.648861
C29 46.619583
Cl 46.796535
