#Frame RMSD_Angstrom
10.000000 0.000000
20.000000 2.051285
30.000000 3.055587
40.000000 3.671552
50.000000 4.573849
60.000000 4.119216
70.000000 4.216125
80.000000 3.991789
90.000000 4.245057
100.000000 4.103511
110.000000 3.784824
120.000000 3.879704
130.000000 4.429576
140.000000 3.289193
150.000000 4.001089
160.000000 3.997044
170.000000 3.611885
180.000000 4.128973
190.000000 3.704161
200.000000 3.288121
210.000000 3.357876
220.000000 3.896165
230.000000 3.497455
240.000000 3.476769
250.000000 3.757915
260.000000 5.399904
270.000000 4.375118
280.000000 6.456618
290.000000 7.372494
300.000000 6.160155
310.000000 9.145056
320.000000 8.881921
330.000000 6.622097
340.000000 7.801095
350.000000 7.985121
360.000000 6.247600
370.000000 7.932472
380.000000 7.082058
390.000000 6.537556
400.000000 7.921064
410.000000 7.780560
420.000000 7.906543
430.000000 7.080608
440.000000 8.412277
450.000000 8.467027
460.000000 8.231280
470.000000 8.953616
480.000000 8.486243
490.000000 7.914975
500.000000 8.395962
510.000000 8.491815
520.000000 8.592097
530.000000 8.848192
540.000000 8.742483
550.000000 8.559072
560.000000 8.745668
570.000000 8.656791
580.000000 8.252355
590.000000 7.627030
600.000000 7.982014
610.000000 8.279926
620.000000 7.249247
630.000000 8.405804
640.000000 8.705204
650.000000 9.438728
660.000000 8.739855
670.000000 8.905765
680.000000 8.085243
690.000000 7.719025
700.000000 8.187483
710.000000 10.529533
720.000000 10.305632
730.000000 9.046844
740.000000 11.464433
750.000000 12.826939
760.000000 13.714963
770.000000 11.714197
780.000000 11.184739
790.000000 12.473308
800.000000 12.341413
810.000000 13.086477
820.000000 11.707196
830.000000 11.422461
840.000000 10.617382
850.000000 11.395704
860.000000 11.413665
870.000000 12.010616
880.000000 10.149259
890.000000 11.459609
900.000000 11.337454
910.000000 10.561147
920.000000 10.902235
930.000000 10.154305
940.000000 10.349237
950.000000 11.340598
960.000000 10.694780
970.000000 10.576196
980.000000 11.064007
990.000000 10.747205
1000.000000 11.713866
