#Frame RMSD_Angstrom
10.000000 0.009371
20.000000 1.602731
30.000000 2.177702
40.000000 2.312232
50.000000 2.673354
60.000000 2.741792
70.000000 2.632354
80.000000 2.500193
90.000000 2.331804
100.000000 2.484531
110.000000 2.419199
120.000000 2.679572
130.000000 2.854496
140.000000 2.500316
150.000000 2.776327
160.000000 2.560994
170.000000 2.451044
180.000000 2.513470
190.000000 2.400212
200.000000 2.475909
210.000000 2.646777
220.000000 2.607432
230.000000 2.421304
240.000000 2.336601
250.000000 2.808578
260.000000 2.912153
270.000000 2.820716
280.000000 2.975767
290.000000 2.912907
300.000000 2.987813
310.000000 3.908060
320.000000 3.408006
330.000000 2.741440
340.000000 3.384981
350.000000 3.556671
360.000000 3.077554
370.000000 3.200128
380.000000 3.033927
390.000000 3.442210
400.000000 3.370552
410.000000 3.569045
420.000000 3.216251
430.000000 3.025289
440.000000 3.221994
450.000000 3.313980
460.000000 3.040737
470.000000 3.220863
480.000000 3.193975
490.000000 3.252108
500.000000 3.062508
510.000000 2.900777
520.000000 3.205859
530.000000 3.136627
540.000000 3.359434
550.000000 3.113076
560.000000 3.026842
570.000000 3.602183
580.000000 3.377059
590.000000 3.212153
600.000000 2.868384
610.000000 2.714996
620.000000 2.622511
630.000000 3.318707
640.000000 3.048049
650.000000 3.670230
660.000000 3.801761
670.000000 3.434139
680.000000 3.205639
690.000000 3.165847
700.000000 3.148225
710.000000 3.221735
720.000000 3.285583
730.000000 3.603719
740.000000 2.992952
750.000000 3.853955
760.000000 3.200499
770.000000 3.852793
780.000000 3.288562
790.000000 3.625621
800.000000 4.146946
810.000000 3.676745
820.000000 3.694960
830.000000 3.709205
840.000000 3.480597
850.000000 3.620701
860.000000 3.322436
870.000000 3.432092
880.000000 2.663926
890.000000 3.579168
900.000000 3.641247
910.000000 3.945653
920.000000 3.609356
930.000000 3.452807
940.000000 3.107584
950.000000 3.396882
960.000000 3.625863
970.000000 3.276577
980.000000 3.512295
990.000000 3.456493
1000.000000 3.533745
