#Frame RMSD_Angstrom
2.000000 0.000000
4.000000 1.341410
6.000000 2.018891
8.000000 2.106149
10.000000 2.296218
12.000000 2.280612
14.000000 2.585741
16.000000 2.902225
18.000000 2.195861
20.000000 2.370143
22.000000 2.764228
24.000000 2.002205
26.000000 2.378010
28.000000 2.522057
30.000000 2.593090
32.000000 2.450423
34.000000 2.625579
36.000000 2.602128
38.000000 2.428631
40.000000 2.604511
42.000000 3.153572
44.000000 2.557007
46.000000 2.664646
48.000000 2.480533
50.000000 2.899278
52.000000 2.492894
54.000000 2.565579
56.000000 2.962028
58.000000 2.322306
60.000000 3.002293
62.000000 3.392428
64.000000 3.173983
66.000000 3.027654
68.000000 3.084533
70.000000 2.900227
72.000000 2.866358
74.000000 3.171215
76.000000 3.115562
78.000000 3.456946
80.000000 3.221476
82.000000 3.036806
84.000000 2.957537
86.000000 2.890947
88.000000 2.728306
90.000000 2.811001
92.000000 3.266721
94.000000 2.994092
96.000000 3.099472
98.000000 3.051078
100.000000 3.036402
102.000000 3.022603
104.000000 3.012514
106.000000 2.581685
108.000000 2.781268
110.000000 3.213488
112.000000 3.138143
114.000000 3.186906
116.000000 3.340305
118.000000 3.153367
120.000000 3.149503
122.000000 3.415527
124.000000 3.889992
126.000000 3.596413
128.000000 3.510840
130.000000 4.060150
132.000000 3.794127
134.000000 3.929688
136.000000 3.702234
138.000000 3.918573
140.000000 3.886318
142.000000 3.815715
144.000000 3.817387
146.000000 3.954343
148.000000 3.798075
150.000000 4.092252
152.000000 4.114182
154.000000 3.737473
156.000000 3.552813
158.000000 3.544993
160.000000 3.462615
162.000000 3.788583
164.000000 3.400047
166.000000 3.470469
168.000000 3.601115
170.000000 3.249650
172.000000 3.331319
174.000000 3.640053
176.000000 3.764647
178.000000 4.035039
180.000000 3.854567
182.000000 4.046935
184.000000 3.770614
186.000000 3.923337
188.000000 3.447585
190.000000 3.189935
192.000000 3.247289
194.000000 3.240864
196.000000 3.034550
198.000000 2.800442
200.000000 3.290222
202.000000 3.197891
204.000000 3.609040
206.000000 3.550274
208.000000 3.296976
210.000000 3.225998
212.000000 3.927334
214.000000 3.650108
216.000000 3.771484
218.000000 3.577364
220.000000 3.414069
222.000000 3.622382
224.000000 3.860213
226.000000 3.880136
228.000000 3.852546
230.000000 3.817954
232.000000 3.371689
234.000000 3.135866
236.000000 3.074514
238.000000 2.994483
240.000000 3.288655
242.000000 3.477732
244.000000 3.650541
246.000000 3.256381
248.000000 3.244006
250.000000 3.554724
