#Frame RMSD_Angstrom
2.000000 0.000000
4.000000 1.139889
6.000000 2.245248
8.000000 2.273441
10.000000 2.211316
12.000000 2.545432
14.000000 3.108284
16.000000 3.404627
18.000000 2.372093
20.000000 2.906528
22.000000 3.175295
24.000000 2.589382
26.000000 2.705795
28.000000 3.495647
30.000000 2.916703
32.000000 3.015538
34.000000 2.632692
36.000000 2.888276
38.000000 2.776557
40.000000 3.039367
42.000000 3.779812
44.000000 3.168090
46.000000 3.260838
48.000000 2.402773
50.000000 3.720674
52.000000 2.826647
54.000000 2.784401
56.000000 3.199974
58.000000 2.579542
60.000000 3.190943
62.000000 3.733117
64.000000 3.424855
66.000000 3.244225
68.000000 3.723351
70.000000 3.641371
72.000000 3.168286
74.000000 3.809947
76.000000 3.683565
78.000000 3.958394
80.000000 3.914517
82.000000 3.397069
84.000000 3.373562
86.000000 3.472536
88.000000 3.326054
90.000000 2.598276
92.000000 2.829138
94.000000 3.036611
96.000000 2.809577
98.000000 2.667283
100.000000 3.158346
102.000000 3.291879
104.000000 3.346448
106.000000 2.317124
108.000000 2.330646
110.000000 3.723282
112.000000 3.661732
114.000000 3.347645
116.000000 3.654016
118.000000 4.432027
120.000000 5.460395
122.000000 4.856625
124.000000 5.498500
126.000000 5.613489
128.000000 4.411810
130.000000 5.043991
132.000000 4.904978
134.000000 4.820319
136.000000 4.752694
138.000000 4.881302
140.000000 4.420485
142.000000 4.980062
144.000000 4.857034
146.000000 5.419118
148.000000 4.751786
150.000000 4.759426
152.000000 4.526044
154.000000 4.779079
156.000000 4.444577
158.000000 5.392081
160.000000 4.491203
162.000000 4.385439
164.000000 3.919390
166.000000 4.957203
168.000000 4.733172
170.000000 4.608344
172.000000 4.200419
174.000000 4.297947
176.000000 4.443944
178.000000 4.726006
180.000000 4.080501
182.000000 4.358684
184.000000 4.467913
186.000000 4.290831
188.000000 4.113241
190.000000 4.408755
192.000000 4.286540
194.000000 4.357335
196.000000 4.199087
198.000000 3.930967
200.000000 4.580280
202.000000 4.012998
204.000000 3.918487
206.000000 4.181970
208.000000 4.210358
210.000000 4.558023
212.000000 4.716047
214.000000 4.593202
216.000000 4.520652
218.000000 4.233779
220.000000 4.307165
222.000000 4.309291
224.000000 4.497152
226.000000 4.351665
228.000000 4.346519
230.000000 4.201617
232.000000 4.581680
234.000000 5.275576
236.000000 4.694830
238.000000 4.900959
240.000000 5.496039
242.000000 5.560110
244.000000 5.483361
246.000000 5.274115
248.000000 5.646890
250.000000 5.768209
