#Frame RMSD_Angstrom
2.000000 0.000000
4.000000 1.346887
6.000000 2.030947
8.000000 2.111778
10.000000 2.300714
12.000000 2.293871
14.000000 2.597764
16.000000 2.907068
18.000000 2.204437
20.000000 2.383045
22.000000 2.776849
24.000000 2.017759
26.000000 2.387647
28.000000 2.526973
30.000000 2.594229
32.000000 2.457324
34.000000 2.631704
36.000000 2.606623
38.000000 2.437823
40.000000 2.607701
42.000000 3.167012
44.000000 2.566971
46.000000 2.673666
48.000000 2.491502
50.000000 2.907793
52.000000 2.500615
54.000000 2.578338
56.000000 2.973007
58.000000 2.338780
60.000000 3.013932
62.000000 3.400680
64.000000 3.188100
66.000000 3.044302
68.000000 3.102125
70.000000 2.914595
72.000000 2.882890
74.000000 3.186295
76.000000 3.134526
78.000000 3.472817
80.000000 3.234521
82.000000 3.053677
84.000000 2.974173
86.000000 2.901685
88.000000 2.736341
90.000000 2.823003
92.000000 3.276027
94.000000 3.004594
96.000000 3.114204
98.000000 3.067736
100.000000 3.050440
102.000000 3.037746
104.000000 3.031365
106.000000 2.598390
108.000000 2.799355
110.000000 3.226543
112.000000 3.149410
114.000000 3.202405
116.000000 3.354542
118.000000 3.161072
120.000000 3.159975
122.000000 3.425369
124.000000 3.898238
126.000000 3.609124
128.000000 3.524077
130.000000 4.073478
132.000000 3.801357
134.000000 3.937889
136.000000 3.714942
138.000000 3.930892
140.000000 3.898497
142.000000 3.825802
144.000000 3.827247
146.000000 3.965014
148.000000 3.805006
150.000000 4.099888
152.000000 4.127193
154.000000 3.745864
156.000000 3.568479
158.000000 3.560287
160.000000 3.476470
162.000000 3.798734
164.000000 3.409629
166.000000 3.477303
168.000000 3.611156
170.000000 3.256561
172.000000 3.345760
174.000000 3.653731
176.000000 3.776161
178.000000 4.052891
180.000000 3.876698
182.000000 4.068343
184.000000 3.785255
186.000000 3.942748
188.000000 3.465387
190.000000 3.204749
192.000000 3.257653
194.000000 3.251905
196.000000 3.050972
198.000000 2.819937
200.000000 3.310905
202.000000 3.220849
204.000000 3.623101
206.000000 3.559263
208.000000 3.311303
210.000000 3.239879
212.000000 3.943093
214.000000 3.664351
216.000000 3.789278
218.000000 3.597316
220.000000 3.432553
222.000000 3.639498
224.000000 3.881305
226.000000 3.895342
228.000000 3.872244
230.000000 3.836987
232.000000 3.388845
234.000000 3.157472
236.000000 3.094117
238.000000 3.016961
240.000000 3.311502
242.000000 3.494661
244.000000 3.671654
246.000000 3.278171
248.000000 3.258044
250.000000 3.572697
