#Frame RMSD_Angstrom
2.000000 0.000000
4.000000 1.341977
6.000000 1.615157
8.000000 1.814832
10.000000 1.783856
12.000000 1.844114
14.000000 2.317360
16.000000 2.866745
18.000000 2.255988
20.000000 2.619104
22.000000 2.769433
24.000000 2.766303
26.000000 2.490779
28.000000 2.612390
30.000000 1.947989
32.000000 2.127776
34.000000 2.009822
36.000000 2.068282
38.000000 2.456627
40.000000 2.401016
42.000000 2.348205
44.000000 2.804036
46.000000 2.349127
48.000000 2.189827
50.000000 2.329757
52.000000 2.466806
54.000000 2.623928
56.000000 3.141220
58.000000 2.613219
60.000000 2.880579
62.000000 2.155361
64.000000 2.402771
66.000000 2.021151
68.000000 2.285817
70.000000 2.338336
72.000000 2.038601
74.000000 2.188115
76.000000 2.503791
78.000000 2.399846
80.000000 1.957253
82.000000 1.601726
84.000000 2.066667
86.000000 2.404014
88.000000 2.275266
90.000000 2.021702
92.000000 2.599268
94.000000 2.842030
96.000000 2.995363
98.000000 3.078187
100.000000 3.057270
102.000000 2.934205
104.000000 2.769391
106.000000 2.334451
108.000000 2.640898
110.000000 2.913661
112.000000 2.203846
114.000000 2.313694
116.000000 3.023552
118.000000 2.296804
120.000000 2.270191
122.000000 2.570890
124.000000 2.170411
126.000000 2.116769
128.000000 2.530562
130.000000 2.277966
132.000000 2.397698
134.000000 2.318749
136.000000 2.373894
138.000000 2.161789
140.000000 2.341838
142.000000 2.038141
144.000000 2.304795
146.000000 2.030371
148.000000 2.506245
150.000000 2.375127
152.000000 2.369822
154.000000 2.693949
156.000000 2.406667
158.000000 2.907586
160.000000 2.008424
162.000000 2.238795
164.000000 2.132174
166.000000 2.245610
168.000000 2.438687
170.000000 2.270655
172.000000 2.312529
174.000000 2.715379
176.000000 2.779479
178.000000 2.371797
180.000000 1.927838
182.000000 2.322155
184.000000 2.517154
186.000000 2.611291
188.000000 2.586986
190.000000 2.838897
192.000000 2.504797
194.000000 2.573258
196.000000 2.214658
198.000000 2.113752
200.000000 2.340588
202.000000 2.666315
204.000000 2.704858
206.000000 2.760159
208.000000 3.196719
210.000000 3.191257
212.000000 2.930371
214.000000 2.423612
216.000000 2.314276
218.000000 2.669146
220.000000 2.619730
222.000000 2.996516
224.000000 3.102682
226.000000 3.362004
228.000000 2.612053
230.000000 2.192579
232.000000 2.193247
234.000000 2.168441
236.000000 2.475690
238.000000 2.446645
240.000000 2.228888
242.000000 2.855860
244.000000 2.475596
246.000000 2.444658
248.000000 2.021991
250.000000 2.870909
252.000000 2.729915
