#Frame RMSD_Angstrom
2.000000 0.000000
4.000000 1.749939
6.000000 2.050710
8.000000 2.418732
10.000000 2.107284
12.000000 2.150615
14.000000 3.331828
16.000000 3.123295
18.000000 2.850298
20.000000 3.322848
22.000000 3.424748
24.000000 3.527540
26.000000 4.198360
28.000000 3.513133
30.000000 2.625497
32.000000 2.524647
34.000000 2.372126
36.000000 2.326712
38.000000 2.929531
40.000000 3.229361
42.000000 2.701519
44.000000 3.455705
46.000000 2.218274
48.000000 2.742524
50.000000 3.181429
52.000000 2.897522
54.000000 3.321296
56.000000 2.820866
58.000000 3.704009
60.000000 3.291455
62.000000 3.137861
64.000000 3.046422
66.000000 1.592026
68.000000 1.932832
70.000000 1.932052
72.000000 1.958542
74.000000 2.777591
76.000000 2.678856
78.000000 2.641529
80.000000 1.892878
82.000000 1.832009
84.000000 3.199626
86.000000 2.501932
88.000000 2.488779
90.000000 2.715315
92.000000 3.551388
94.000000 3.365706
96.000000 4.925739
98.000000 5.489948
100.000000 6.215149
102.000000 7.280939
104.000000 8.014329
106.000000 6.788042
108.000000 7.930405
110.000000 8.159975
112.000000 7.682153
114.000000 7.571885
116.000000 8.298026
118.000000 7.369513
120.000000 7.271929
122.000000 7.653215
124.000000 6.554453
126.000000 7.466528
128.000000 7.323500
130.000000 7.544720
132.000000 7.409251
134.000000 7.654259
136.000000 7.429962
138.000000 7.292955
140.000000 7.600467
142.000000 6.678763
144.000000 7.315667
146.000000 7.111934
148.000000 7.678707
150.000000 8.220252
152.000000 6.868236
154.000000 7.446784
156.000000 7.382244
158.000000 7.590169
160.000000 6.464647
162.000000 8.190452
164.000000 7.353243
166.000000 7.146152
168.000000 7.509844
170.000000 7.834968
172.000000 7.373116
174.000000 7.406264
176.000000 7.913592
178.000000 6.852985
180.000000 6.756270
182.000000 7.761270
184.000000 6.841231
186.000000 7.402198
188.000000 6.954960
190.000000 7.460040
192.000000 7.753022
194.000000 7.928349
196.000000 7.108377
198.000000 6.748959
200.000000 6.805503
202.000000 7.459327
204.000000 7.491763
206.000000 7.581373
208.000000 7.801165
210.000000 7.958187
212.000000 7.634585
214.000000 6.385266
216.000000 7.056856
218.000000 6.610787
220.000000 5.868237
222.000000 9.273300
224.000000 7.616820
226.000000 8.905059
228.000000 7.337003
230.000000 6.885386
232.000000 6.764191
234.000000 6.926309
236.000000 7.336190
238.000000 7.422348
240.000000 6.919147
242.000000 8.906919
244.000000 7.594728
246.000000 7.639828
248.000000 7.027297
250.000000 8.194557
252.000000 8.771290
