#Frame RMSD_Angstrom
2.000000 0.000000
4.000000 1.354365
6.000000 1.633127
8.000000 1.839704
10.000000 1.805444
12.000000 1.861957
14.000000 2.336564
16.000000 2.887745
18.000000 2.281799
20.000000 2.647972
22.000000 2.798162
24.000000 2.788967
26.000000 2.512212
28.000000 2.638153
30.000000 1.981372
32.000000 2.152452
34.000000 2.043169
36.000000 2.093442
38.000000 2.475749
40.000000 2.425308
42.000000 2.377936
44.000000 2.823128
46.000000 2.380741
48.000000 2.219444
50.000000 2.354573
52.000000 2.484001
54.000000 2.644869
56.000000 3.160155
58.000000 2.637537
60.000000 2.913073
62.000000 2.191631
64.000000 2.430499
66.000000 2.056835
68.000000 2.311377
70.000000 2.369111
72.000000 2.072022
74.000000 2.209152
76.000000 2.526869
78.000000 2.426557
80.000000 1.985047
82.000000 1.641869
84.000000 2.093169
86.000000 2.430842
88.000000 2.304128
90.000000 2.051620
92.000000 2.626627
94.000000 2.862346
96.000000 3.013685
98.000000 3.092882
100.000000 3.078980
102.000000 2.955141
104.000000 2.796074
106.000000 2.354573
108.000000 2.662788
110.000000 2.937555
112.000000 2.231716
114.000000 2.338949
116.000000 3.042411
118.000000 2.325279
120.000000 2.299893
122.000000 2.590588
124.000000 2.205392
126.000000 2.146365
128.000000 2.555278
130.000000 2.297410
132.000000 2.412693
134.000000 2.340863
136.000000 2.396458
138.000000 2.183804
140.000000 2.357182
142.000000 2.049992
144.000000 2.321500
146.000000 2.051405
148.000000 2.524105
150.000000 2.397667
152.000000 2.389486
154.000000 2.718067
156.000000 2.422790
158.000000 2.934100
160.000000 2.029585
162.000000 2.259716
164.000000 2.151269
166.000000 2.277465
168.000000 2.456752
170.000000 2.294828
172.000000 2.344612
174.000000 2.745409
176.000000 2.804323
178.000000 2.392351
180.000000 1.954462
182.000000 2.354274
184.000000 2.544912
186.000000 2.639734
188.000000 2.611723
190.000000 2.862545
192.000000 2.531193
194.000000 2.607533
196.000000 2.246287
198.000000 2.142064
200.000000 2.373685
202.000000 2.692894
204.000000 2.736759
206.000000 2.785407
208.000000 3.222103
210.000000 3.213629
212.000000 2.950680
214.000000 2.438705
216.000000 2.333969
218.000000 2.694720
220.000000 2.640848
222.000000 3.018416
224.000000 3.119093
226.000000 3.384981
228.000000 2.636621
230.000000 2.217089
232.000000 2.219860
234.000000 2.198513
236.000000 2.496432
238.000000 2.465637
240.000000 2.260571
242.000000 2.882769
244.000000 2.507209
246.000000 2.475785
248.000000 2.058265
250.000000 2.901383
252.000000 2.760355
